alpha_io a_wl_io bio_hum_cn b_wl_io dcatch_dlai_io dqcrit_io dz0v_dh_io f0_io fd_io g_area_io g_root_io g_wood_io gs_nvg_io hw_sw_io kaps_roth knl_io lai_max_io lai_min_io lma_io n_inorg_turnover nmass_io nr_io retran_l_io retran_r_io r_grow_io rootd_ft_io sigl_io sorp tleaf_of_io tlow_io tupp_io l_vg_soil
1.2782551793 1.5849634372 1.7926866304 0.8773958384 1.1838895934 1.6697639527 0.5308886204 0.8074903021 1.0431739839 1.3034030827 1.8742683412 2.1785325766 1.1879664891 1.7760567940 1.2973122033 1.4036505322 0.6431121612 0.5650737961 1.0366817997 1.8701837451 1.0608740201 1.4719871537 0.6965287090 1.5368428864 1.5508636122 2.0184602999 1.3382898107 0.4974004590 1.0678572045 1.0589968929 0.7791916956 0.9638471183
1.8663800712 1.1610817798 1.2516995759 0.8392299978 1.3344209653 1.4372595093 1.6371975629 0.7731876808 1.5520525083 1.3688064363 1.6996830589 0.1056221514 1.5614851083 0.4764182548 1.0062676496 1.4259922042 0.5529067771 1.9183765331 1.7214629397 6.9881826529 1.4018811118 1.3635674043 0.5209655945 1.6192991025 1.3077233875 1.8322920632 0.9903808779 0.7346168393 0.9480798917 1.0985195211 0.8531864185 0.8166884874
1.3806244929 1.1071873008 1.5813196595 1.3680358115 1.8990061447 1.0858863229 0.4307618010 0.9619172138 1.1554733716 1.2007036262 1.8959639327 1.3348754834 1.7237457982 1.0370590073 1.6004907990 1.5798172738 0.5619787064 1.7813085546 0.8991078398 3.9646571009 1.1691936965 1.3765057720 1.3825121946 1.9955558984 1.2391655805 0.2524635959 1.8256427775 0.4702707241 1.0463969452 1.0807480583 0.9597620353 0.3156424692
1.0044791733 1.7089472793 1.4306517358 0.9452342529 1.5312855810 1.2953537813 2.2043214273 0.8458208774 1.6013983170 0.9329139763 2.5695528452 1.4233931901 1.2591752101 1.3327784662 0.9266335691 0.7385908310 0.9139283048 2.2982646088 1.5069171485 7.9781044059 1.2880355090 0.7247288104 1.6548554409 1.2879503940 0.9101663672 2.2754156030 1.0131458214 1.6647047397 0.9421743914 1.0087542094 1.1330408442 0.4669159937
0.5638335067 0.9189843554 1.2948681505 0.8978315424 0.9805128265 1.9306346979 1.6992285191 0.9853647575 1.3759447039 1.9325481097 0.6235898372 1.4145708748 1.3545969697 1.0483474939 1.4018017859 1.7289265035 1.2123898677 2.9803167300 1.5998718283 2.9394534497 1.0262920314 1.6456986965 0.2981405344 1.5226827917 1.2980007250 0.6940441716 0.7831553182 0.1142523953 1.0164449082 0.9522655325 0.7865176132 0.5961788064
1.5461400934 1.2843008800 0.5740494318 1.8317088405 1.4350384212 1.6637064969 1.9694335690 1.0024291111 1.4525484336 0.8919344768 0.8287481788 1.1832165691 0.9384080445 0.3824371489 0.9687398602 1.6568420523 0.9058692081 1.8732449441 1.5614267832 5.0281870484 1.0530904965 1.5848527159 1.3722563162 2.0280901017 0.6099522242 1.9927471166 1.6151404220 1.3714502012 0.9994220996 0.9365374702 1.1135378305 0.1599217366
1.4485146122 1.6125951081 1.5288322524 1.2542725173 1.2707390170 1.8412655261 2.3039027971 0.8892649483 1.5133873614 0.9461770548 1.9231919055 1.2802382368 1.0023438442 0.3986513635 1.6904782306 0.8734448139 0.7580859045 0.8851679737 1.3832220773 5.7064897336 1.9665841604 1.3141323250 0.6188093668 1.7948016405 0.7981398036 1.2442945059 1.4424253500 1.2128898222 1.0206098635 0.9888699592 0.8998340588 0.8016957800
0.7980715832 1.6044969202 1.8178932455 1.2803470161 0.8223645967 1.5397758207 2.6717841886 0.9754397169 1.7584259740 0.8987957123 1.3186918534 0.9376032515 1.1001626576 1.3721665900 1.6624635068 1.4158004934 0.7122879762 2.1786858068 1.7163772400 7.8884681465 0.9657967910 1.5085613904 1.1227910139 1.9501350049 1.6870576827 1.6769523658 1.7736967842 0.9823773622 0.9156006265 1.0082580033 0.8874304939 0.4376854338
1.6883777044 1.6157209319 0.6910939187 1.8238964234 1.1710317747 1.7078183695 1.8165628416 0.9479268159 1.0147297843 1.4396673414 1.3700287502 0.6242897723 0.7380019734 0.2392712574 1.2891744982 1.2014559155 1.3615915789 0.6513329723 0.7092805321 8.5466168764 1.8855318699 1.0851338284 1.0997728677 2.3450629677 1.9144170168 1.1745492239 1.6748787360 0.4787850705 1.0712593288 0.9274346709 1.0391957578 0.7282717109
1.6442873829 1.9734682627 0.9861115008 1.2247209256 1.2132296280 0.8459077539 1.5089363261 1.0458348944 1.9184040817 1.5880654386 1.2506540441 0.5045698107 1.0202484021 0.4696809405 1.2408819885 1.4271412569 0.8080409854 2.4341827084 1.6318603532 5.0473806029 1.6847280920 0.5791920123 0.5020566897 0.2316551396 1.5441431248 1.6063335511 1.5422341304 0.3491245513 0.9747072625 0.9970093789 0.9074033119 0.1737488522
1.1398629794 0.5061352718 0.8347971551 1.4871600125 0.8320881360 1.2644312891 0.5783836479 0.8412409398 1.2062931585 1.3743758093 2.1333111946 0.8784279234 0.6719606044 0.6423534386 0.6230255231 2.0417702950 0.8715782785 2.4193386320 0.8331312395 1.6128851494 0.8516046220 1.9102890379 1.2940680033 1.4295050589 0.9721830795 1.7192698911 1.4007004127 0.5821110560 0.9804750321 1.0104983019 0.9764519523 0.8162168867
1.0938928164 0.9587449850 0.8789651712 0.8013041619 1.1264174104 1.2076271142 3.0251675643 1.0438824595 1.0823146708 1.4307605766 1.3299516739 1.5069973865 1.4786162692 1.1103104949 1.7249179163 1.7568708578 1.1814223174 1.7293219300 0.8613163032 5.5322179880 0.8837145651 0.7669521612 0.9883160380 4.8711918580 1.2672275373 2.3598121490 1.4758157374 1.0435362125 1.0726544790 0.9758539618 0.8496237491 0.2540366220
1.9123012858 1.0574690404 1.7083157794 1.3479698718 0.8298326781 0.7953162002 0.2418302172 0.9287933222 1.4246859289 1.6071503531 2.0499468815 1.3572287796 1.2707898271 1.0937160020 1.5700147155 1.0047160432 0.8238191738 1.4141579953 1.9992654180 9.7345786662 1.0554417640 1.0965843128 1.2810737189 3.0188299320 0.9852297279 2.2554534399 1.7812135805 1.9753489684 0.9511698948 1.0308195160 0.8100033275 0.7612429617
1.3373400222 1.9314415675 1.1062986323 1.4342622393 1.3842366977 0.8236449862 0.5679217128 0.9642214155 1.5706425666 0.6040084659 2.7040596372 2.2503937868 0.7531087416 1.3198759534 0.9027195103 2.0177188091 1.1220840775 2.1231832598 1.4246007847 7.5222838995 1.3161190497 1.5967142078 1.0240896801 1.1514437099 1.4548043848 0.7980460750 1.2731193620 0.6076536719 1.0556445771 0.9323437975 0.7253490499 0.6710094420
0.8636897557 1.4460890545 1.9486528994 1.0503167912 1.0629969434 1.1928323578 0.7758796104 1.0411464064 1.0053712714 1.6755543776 1.1739175608 2.0027820023 1.8672740169 1.2589903881 1.0373190141 1.3644795934 1.3203687842 1.4838292688 0.6523560995 2.2689991833 1.7845293313 1.0454871042 0.8057591516 2.9322724355 0.9529989592 1.0941424724 1.0050252254 1.3282607228 1.0455523252 0.9981834262 0.7624477045 0.1208463962
1.3700579654 0.9506562170 1.3055988008 1.3705399345 1.0346059175 1.2006679387 2.0676699515 0.7995261592 1.1939170608 1.6680770722 0.0033863693 1.6642977004 1.2844274448 0.2031979113 0.6969388272 0.9012727087 0.5872158646 2.1979436499 0.7991853315 7.6834564023 1.9705770004 1.6331216504 0.3731616262 1.6601104071 0.8238389639 1.0257202575 1.4724656071 0.2664126867 0.9547582912 0.9910825895 0.8723914848 0.5298931467
0.7678454509 0.9430928994 1.6516902302 1.2996103926 1.4900739964 1.1727272193 1.9983660835 1.0958135628 1.5453535224 0.8892459954 0.4499644200 1.5125223737 1.1299769479 0.9425858850 1.3240410960 1.2096632627 1.1282562017 0.8347295082 1.6218747515 2.0862931882 1.0793184226 1.0538859684 1.6877109282 3.5794152445 1.2125907030 2.3022181647 0.7793470652 1.0245949135 1.0616206783 1.0041886568 1.0850461676 0.6094410758
0.5275403159 1.4630868239 0.7725692266 1.5113990596 1.0364331041 0.8631675341 2.3255746188 1.0567286083 1.0504714751 1.2477748864 2.3531457174 1.7369583479 0.6293989747 1.0415976166 1.1422482793 1.9243273346 1.1127443655 1.7088710832 1.9934928596 4.8658859629 0.5959424655 1.8611675242 1.1587027124 3.2638088921 0.6987085884 1.7266729264 1.0445627019 0.3687969655 0.9453033277 0.9356166111 0.8649302897 0.4239463185
1.3047613983 1.2105030693 0.5371385264 1.5422579123 1.4484432811 1.1204000365 1.4756400667 1.0231962269 1.1845199434 1.1179981266 0.5798196827 0.0646477976 0.9069925986 1.2074889195 1.3107792887 0.8053206421 0.9863796457 1.4312654085 1.8165955947 6.4647485743 1.3606001440 0.7273067381 1.5901980235 3.3543021329 1.3684040673 0.2248463627 1.2126839363 1.0131402612 0.9780169168 0.9371282859 1.0037589007 0.7651685793
0.8522599961 1.9856675842 1.3016354959 0.8852109114 1.3451457537 1.7380038462 0.8122521172 1.0897901118 0.9042557103 0.9516733770 3.2745972141 0.2464666120 1.5548361950 1.2975645352 0.9338754179 0.5967792362 0.9203962204 0.6766094239 0.8843082348 0.7750249373 1.5014349541 1.4480009903 0.7775183538 0.9452190544 1.4435771079 1.1351125639 1.1081247978 1.4865922031 0.9229544171 0.9746757638 0.8748885390 0.6547189112
0.8885396517 1.0843093150 1.4566132709 1.1435726969 0.7323589943 0.9087236475 0.8411559300 1.0101398850 1.3062930909 1.3068654593 3.1603505060 0.9071272935 1.4055616600 1.7140925303 1.2807719450 1.2794529340 1.2695333781 1.0361828920 0.7138592114 7.5465856035 1.1791019332 1.8108420888 0.3107377088 2.9530316867 0.8083412602 2.1005248611 1.7951728801 1.0526285452 0.9145154305 0.9963353212 0.8037936808 0.3966626040
1.2689287163 0.6417998181 0.8376178562 1.3240068900 1.7723428050 1.4522131184 0.7212634688 0.8388455362 0.6714035870 0.5605933124 1.9474767807 0.3214355693 1.1650449878 0.6052218796 1.2729104301 1.9286180702 0.9030429038 1.5011986762 1.4474300452 4.1739688601 0.6962252867 1.1507179904 0.1107473122 1.4793349627 1.5807988069 0.8932238962 1.0789169917 0.5693206181 1.0223409725 0.9091331072 1.0422605363 0.5235707639
0.9236206710 1.6234609882 1.8950109661 0.9949706221 0.8935944709 0.7227886745 1.9249508201 0.7890421359 1.9686228150 1.5559652544 1.2875074328 1.2895238219 1.5084703561 0.8375001309 1.7026954162 1.4120619669 1.2857944947 0.4356878706 1.4629449767 6.3676266794 1.8594307636 0.9514855676 1.1385842919 2.1263440551 1.3635827615 2.0378134822 1.3285604033 0.7948093686 1.0091909730 1.0603702172 0.8787780139 0.5172526069
1.2053365986 1.3537676538 1.1168428269 0.9785223359 1.8338000654 1.0159856543 0.6292459088 1.0136647370 1.0989633937 0.5034538700 1.9771026383 0.5984821019 1.6040252954 1.5615077280 1.7676806021 1.3292013440 1.1941217153 1.2148752655 1.6742289216 7.8015929694 1.7180675235 0.9808999254 0.6754156694 1.7296052082 1.0246505795 2.1386022956 0.9244536323 1.5581274851 1.0215609808 0.9842504114 0.7459756872 0.2168112867
0.9399738868 1.6254836884 1.7556652594 0.7951298300 1.6279488689 1.7167055309 0.9169883760 0.9416505963 1.2623810179 1.0520834434 0.8369547103 2.0873894292 1.4623643150 0.3368322453 1.3391585471 1.5916106852 0.9092293108 2.7044983461 1.0547980983 1.2521433863 1.3795910047 1.7707792547 0.5855103148 2.1984355756 0.9397577260 2.0840587745 0.8710883080 1.0557870648 0.9615281045 1.0321568103 1.0605392620 0.2983725812
